Ta,G,V,Tc
24,0,0.33652,22
23,0,0.73722,22
24,0,0.28977,22
24,0,0.6742,22
23,0,0.52448,22
23,0,0.73547,22
24,0,0.76298,22
23,0,0.9739,22
23,0,1.0688,22
23,0,0.95875,22
23,0,0.59493,22
23,0,0.9477,22
23,0,0.93325,22
23,0,0.8683,22
23,0,0.6517,22
23,0,0.85205,22
23,0,0.8357,22
23,1,0.81792,21
23,10,0.85825,21
24,35,0.51383,22
24,55,0.44957,23
24,94,0.67623,24
28,141,0.54933,26
29,167,0.77417,27
31,221,0.72178,28
31,264,0.7032,29
31,311,0.68217,29
31,354,0.8328,30
32,397,1.3406,34
29,442,1.3997,39
28,481,1.1658,42
29,522,1.941,44
29,556,1.5113,47
29,594,1.971,49
29,624,1.904,50
30,661,2.2793,52
30,700,2.2835,52
31,732,2.1096,54
31,758,2.3179,55
31,790,2.1263,55
31,819,2.3423,57
32,845,2.2128,57
31,855,2.2905,58
31,878,2.5194,58
32,895,2.2662,59
32,915,2.6874,59
32,925,2.6772,59
32,948,2.5471,57
32,949,2.7281,60
32,963,2.736,58
32,971,2.8556,60
32,981,2.5305,60
32,990,2.6114,59
32,707,2.5654,60
32,952,2.5997,53
31,450,2.853,46
31,757,3.1148,49
32,973,2.9158,55
32,984,2.8386,59
32,935,2.2879,60
32,957,2.7996,59
32,926,2.1909,59
32,585,2.3122,56
31,358,2.5099,46
31,854,2.8757,47
32,904,2.0956,53
31,711,2.0225,53
31,731,1.8373,47
31,722,1.669,51
32,704,2.093,51
31,647,1.8604,50
31,563,2.0815,48
31,568,1.8298,48
30,248,1.4848,44
31,244,1.1579,43
30,232,1.1495,42
30,225,1.0737,40
30,343,1.1635,39
30,312,1.1258,40
30,251,1.1625,38
30,220,0.85697,37
30,182,0.9549,36
30,136,1.2374,35
29,84,1.1554,33
29,52,0.94143,31
28,17,1.5989,29
28,5,1.2543,27
27,0,1.6233,26
28,0,1.169,26
28,0,1.5563,25
28,0,1.6164,25
28,0,1.645,25
27,0,1.3783,25
27,0,1.1656,25
27,0,0.32088,25
27,0,0.67385,25
27,0,0.40413,25
27,0,0.35008,25
26,0,0.70792,24
26,0,0.78308,24
26,0,1.0108,24
26,0,0.38252,24
26,0,0.307,24
26,0,0.4213,24
26,0,0.37912,24
26,0,0.70158,24
26,0,0.59292,24
26,0,0.4579,24
26,0,0.2885,24
26,0,0.53538,24
26,0,0.42512,24
26,0,0.4326,24
25,0,0.38252,24
25,0,0.37442,23
25,0,0.46258,24
25,0,0.36608,23
25,0,0.89367,23
25,0,1.0163,23
25,0,0.91958,23
25,0,0.72892,23
25,0,0.44137,23
25,0,0.70778,23
25,0,1.0971,23
25,0,0.4075,23
25,0,0.96977,23
25,0,0.44835,23
25,0,0.39947,23
25,0,0.8297,23
25,0,1.136,23
25,0,0.92187,23
25,0,1.1032,23
24,0,0.83752,23
24,0,0.75353,23
24,0,0.97263,23
24,0,0.5956,23
24,0,0.3366,23
24,0,0.87595,23
24,0,0.72963,23
24,0,0.98925,22
24,0,0.82188,22
24,0,0.40163,22
24,0,0.77133,22
24,0,1.0375,22
24,0,1.145,23
24,0,0.81993,23
24,0,0.68767,23
24,0,0.70892,23
24,0,1.156,23
24,0,1.4441,23
23,0,1.3361,22
23,0,1.3334,22
23,0,0.4734,22
24,0,0.50972,22
24,0,0.71762,22
23,0,0.55523,22
23,0,0.48002,22
24,0,0.93248,22
24,0,1.1388,22
23,0,0.66212,22
24,7,0.80815,22
24,15,0.32293,22
24,29,0.60548,23
24,58,0.90573,24
25,86,0.42627,25
27,128,0.79335,26
28,161,1.3559,26
28,132,1.7806,26
30,245,1.994,29
29,285,2.3272,29
29,326,2.2439,33
30,378,2.9158,37
30,419,2.7217,41
30,463,3.0457,42
30,500,2.8362,43
30,537,2.8512,44
30,575,2.8633,46
30,628,2.8104,47
30,662,3.0968,48
31,701,2.9974,49
31,726,2.6357,49
31,758,2.9196,51
31,780,2.4559,52
31,818,2.6425,53
31,831,2.7528,54
31,855,2.7887,54
31,879,2.8765,54
31,885,2.9831,54
32,846,3.3526,56
32,931,3.0104,58
32,938,2.7966,59
32,943,3.2201,58
32,981,2.7905,58
32,981,3.0177,57
32,973,2.7925,59
32,980,2.9096,57
32,936,3.1767,59
32,1029,2.8716,59
32,768,2.6941,59
32,1001,2.7388,59
32,976,2.2726,59
32,996,2.5343,60
32,688,2.5622,59
32,835,2.9146,56
32,1007,2.5815,57
32,686,2.533,56
32,876,2.9066,53
32,662,2.3653,54
32,618,2.5336,49
32,647,2.1262,48
32,754,2.2325,53
32,657,2.4,53
32,778,2.7362,51
32,719,2.5889,52
31,370,2.7611,47
30,151,2.2624,41
31,582,2.5575,44
31,489,2.3803,46
31,461,2.0737,45
31,420,2.0728,43
30,377,1.984,42
30,333,1.5501,41
31,296,1.6836,40
30,265,1.7402,38
30,216,1.6069,37
30,143,1.2133,36
29,105,1.176,34
29,48,1.0484,32
29,21,1.1982,30
28,7,1.209,28
28,0,1.3175,27
28,0,1.1246,27
27,0,1.1686,26
28,0,0.87162,26
28,0,1.4437,26
28,0,1.5839,26
28,0,1.2954,26
28,0,1.0889,26
28,0,1.1725,26
28,0,1.0319,26
27,0,1.4337,25
27,0,1.578,25
27,0,1.4632,25
27,0,1.2672,25
28,0,0.6907,26
27,0,0.81343,26
27,0,1.4716,26
27,0,1.3524,26
27,0,0.76645,26
27,0,0.4912,25
27,0,0.31472,25
27,0,0.80312,25
26,0,0.65638,24
26,0,0.88023,24
26,0,0.67957,24
27,0,0.67758,25
26,0,1.1601,25
26,0,1.0709,24
25,0,0.8853,24
25,0,0.93167,24
25,0,0.75295,23
25,0,0.87498,23
26,0,1.0886,23
26,0,1.5599,24
26,0,1.3227,24
25,0,1.6714,24
25,0,1.5237,23
25,0,1.5114,23
25,0,1.5702,23
25,0,1.4991,24
26,0,1.0125,24
26,0,1.052,24
26,0,1.2065,24
26,0,1.0102,24
25,0,0.97875,24
26,0,1.0066,24
25,0,1.0817,23
25,0,0.86353,23
25,0,0.91805,23
25,0,0.95493,23
25,0,1.1436,23
25,0,0.9951,23
25,0,0.68503,23
25,0,0.55188,23
25,0,0.94607,23
25,0,0.99405,23
25,0,0.84973,23
25,0,1.0096,23
25,0,1.2638,23
25,0,0.92895,23
25,0,0.7933,23
25,0,0.87367,23
25,0,0.6859,23
24,0,0.77412,23
25,0,0.84137,23
25,0,0.97212,23
25,0,1.1058,23
25,0,0.7582,23
25,0,0.8036,23
24,0,1.1218,23
25,0,1.1655,23
24,0,1.5698,23
25,0,1.6199,23
24,0,1.5803,23
24,0,1.8714,23
25,8,1.6709,23
25,30,1.7842,24
26,57,1.6262,24
26,96,1.0553,25
29,126,1.4047,26
30,169,1.6368,27
30,210,1.3407,28
31,240,1.4207,31
31,305,1.3006,34
33,345,1.5043,37
31,244,1.6021,37
32,418,1.3356,40
30,468,1.5039,42
30,504,1.4798,43
30,546,1.4496,45
30,583,1.8741,47
31,640,1.3232,48
30,533,1.6406,46
31,766,1.553,49
32,822,0.89417,55
31,760,1.4757,55
31,778,1.1257,54
31,806,1.0651,55
31,831,1.3082,56
32,876,1.0553,58
31,891,1.0497,60
32,918,1.3133,63
33,935,2.0714,63
33,990,2.6559,66
33,1026,2.6358,65
33,958,2.3376,66
33,682,2.373,56
33,444,2.7859,60
33,582,2.7655,50
32,399,3.2812,51
32,533,3.4207,47
31,207,3.2841,41
31,452,3.134,40
33,559,3.2277,51
32,925,2.947,49
33,957,2.3479,56
33,906,2.4838,57
32,867,2.7705,56
33,844,2.045,55
32,851,2.9044,55
32,805,2.763,54
33,819,2.5249,55
33,814,2.4017,56
32,757,2.4352,55
33,724,2.5111,54
32,698,2.5126,53
31,594,2.195,47
32,629,2.464,49
32,549,2.4979,48
32,528,2.4153,48
32,487,2.7475,47
31,452,2.6833,45
31,412,1.9122,44
31,372,2.1689,43
31,334,1.9545,41
31,302,2.0956,40
30,247,1.374,38
30,207,1.1365,36
30,168,1.3698,35
30,129,1.2538,34
29,91,1.0812,33
29,58,0.97317,31
29,24,1.6232,30
29,10,0.5062,28
28,2,0.54432,27
28,0,0.8798,27
28,0,1.1283,26
28,0,1.2615,26
28,0,0.8412,27
28,0,0.46337,27
28,0,0.8056,27
28,0,0.96458,26
28,0,0.47545,26
28,0,0.98583,26
28,0,1.0162,26
28,0,0.94815,26
28,0,0.78025,26
28,0,0.74335,26
27,0,0.78713,26
27,0,0.66737,26
27,0,0.59258,26
27,0,0.69152,25
27,0,0.56478,25
27,0,0.77605,25
27,0,1.2647,26
27,0,0.9442,26
27,0,1.2653,26
27,0,1.1728,26
27,0,1.0481,26
27,0,0.69747,26
26,0,0.8792,25
26,0,1.265,25
26,0,1.409,25
26,0,0.794,25
26,0,0.65935,24
26,0,0.82792,24
26,0,1.0209,24
26,0,1.2679,24
26,0,1.4009,24
26,0,1.3105,24
26,0,1.3817,24
26,0,1.218,24
25,0,1.252,23
25,0,1.1439,23
25,0,1.3086,23
26,0,1.2903,23
25,0,1.3172,23
25,0,2.0338,24
26,0,2.0277,24
25,0,1.6047,24
26,0,1.5092,24
26,0,1.6401,24
26,0,1.4838,24
26,0,1.4448,24
26,0,1.3014,25
26,0,1.3241,25
26,0,0.97435,24
26,0,1.4145,24
26,0,1.3201,24
26,0,1.399,24
25,0,1.2791,24
26,0,1.2045,24
25,0,1.1686,23
25,0,1.1227,23
25,0,1.1013,23
25,0,1.5616,23
25,0,1.26,23
25,0,1.5138,23
25,0,1.2828,23
25,0,1.0767,23
25,0,1.1887,23
25,0,1.1953,23
25,0,1.0569,24
25,0,1.6831,23
25,0,1.8726,24
25,0,1.6578,23
25,0,1.5046,23
25,0,1.3096,23
25,0,1.3955,23
25,8,1.5246,23
25,26,1.4668,24
25,51,1.3991,24
26,87,1.4021,25
28,124,1.3604,26
29,162,1.9027,27
30,210,1.7733,29
30,255,1.5062,32
31,300,0.81362,34
33,347,1.2322,36
32,381,1.5077,38
32,428,1.492,40
30,463,1.5085,40
29,511,1.2548,42
29,554,1.5739,43
30,590,2.0609,47
30,623,2.0253,48
31,661,2.0654,49
31,689,2.0511,51
32,729,2.3987,52
32,754,2.4551,53
31,776,2.2359,51
31,804,2.7453,52
31,829,2.9392,52
32,851,2.7176,53
32,869,2.6396,53
32,893,2.6671,53
32,911,2.5257,54
33,956,2.6008,54
33,955,2.5128,54
33,957,2.4934,53
33,974,1.663,55
33,1010,1.3086,57
33,607,1.3129,54
33,814,1.3825,52
34,963,2.3757,57
34,1055,2.3822,57
34,701,2.2554,56
33,283,3.1717,48
33,555,2.9005,50
33,743,2.9281,48
34,756,3.4065,58
33,303,2.9901,52
32,473,3.1448,46
33,900,2.2428,49
33,905,2.9793,54
33,349,3.2509,56
33,810,3.4876,52
33,749,3.1264,52
32,678,3.3067,48
32,656,3.1397,49
31,122,3.1384,45
31,254,2.9146,38
32,660,3.2256,46
32,520,2.0862,48
32,623,1.3701,47
32,390,1.2792,47
30,42,0.77368,36
30,44,0.42798,32
30,49,0.57047,31
29,35,0.55195,30
29,39,0.59078,30
29,181,0.59022,31
30,64,0.42347,33
29,88,0.32792,33
29,44,0.47432,32
29,18,0.76455,30
28,9,0.79778,28
28,3,0.64968,27
28,0,0.63255,26
28,0,0.80945,26
28,0,0.96395,26
28,0,1.1955,26
27,0,1.6595,26
27,0,2.0011,26
27,0,2.0824,25
27,0,2.2131,25
27,0,1.9924,25
27,0,1.926,25
27,0,1.6348,25
27,0,1.5335,25
27,0,2.1094,26
27,0,2.0301,26
27,0,1.3675,26
27,0,1.3108,26
27,0,1.9531,26
27,0,2.9588,26
27,0,3.6311,26
27,0,2.6751,26
27,0,1.8529,26
27,0,1.8425,25
27,0,2.0405,25
27,0,2.1904,25
27,0,2.4105,26
27,0,2.6823,25
26,0,2.3146,25
26,0,2.3803,24
26,0,2.1778,24
26,0,2.0382,24
26,0,1.6971,24
26,0,1.681,24
26,0,1.5504,24
26,0,1.7972,24
26,0,2.0243,24
26,0,2.4079,24
26,0,2.4066,24
25,0,2.0877,24
25,0,1.9292,23
25,0,2.1915,23
25,0,2.5032,23
25,0,2.5202,23
25,0,2.5371,23
25,0,2.5972,24
25,0,2.7586,23
25,0,2.3925,23
25,0,2.1841,23
25,0,1.8276,23
25,0,1.424,23
25,0,2.1744,23
25,0,2.5303,23
25,0,2.5892,23
25,0,2.3796,23
25,0,2.2677,23
25,0,2.4938,23
24,0,2.2802,23
24,0,2.6383,23
24,0,2.9262,23
24,0,2.8175,23
24,0,2.8089,23
24,0,3.6479,23
24,0,3.7255,23
24,0,3.1835,23
24,0,3.0595,23
24,0,2.7305,23
24,0,2.5252,23
24,0,2.2059,23
24,0,1.9306,23
24,0,2.0981,23
24,0,2.8821,23
24,0,3.1459,23
24,0,3.568,23
24,0,3.0396,23
24,0,3.0996,23
24,1,3.0699,23
24,9,2.7726,23
25,32,2.6538,24
25,69,2.4723,24
26,57,2.3449,25
25,50,1.6877,24
27,165,1.7998,25
29,271,2.1685,28
29,277,2.704,30
28,122,2.4306,31
28,215,2.186,30
29,181,2.4883,33
31,412,2.433,37
29,540,2.5859,37
28,193,2.193,36
28,389,2.0288,37
28,154,2.2817,34
28,176,1.9626,32
28,257,2.2089,33
28,263,2.1367,35
29,480,2.364,39
29,440,2.6868,43
30,801,2.5192,47
31,882,1.9988,54
31,850,1.7864,53
31,941,1.7474,49
32,966,1.2814,54
32,944,2.5111,55
31,799,2.1144,52
32,974,1.7919,55
32,914,2.31,59
33,953,1.9065,59
33,979,2.5669,60
33,698,2.0248,56
33,1038,2.3446,54
33,771,1.9541,56
32,914,2.5411,52
33,961,1.972,57
33,618,2.2304,61
34,1027,3.1298,58
33,897,3.0219,60
33,198,2.4093,48
33,755,2.1686,54
34,903,1.8621,56
33,389,3.6845,59
26,36,2.2214,30
26,14,0.7756,26
25,25,1.2176,26
25,18,1.7494,26
25,31,0.79213,26
25,52,0.71812,25
25,123,0.6119,26
25,191,0.85172,29
25,190,0.41885,30
26,198,0.53553,30
26,111,0.63453,29
26,111,1.4639,29
26,124,1.4784,29
27,164,1.5265,30
26,159,1.7932,30
26,144,1.7144,30
27,131,2.0183,30
27,73,1.251,30
26,16,1.105,27
26,16,1.0381,26
26,13,0.9176,26
26,9,1.2172,26
26,4,0.77092,26
26,0,0.51562,26
26,0,0.85177,25
26,0,0.84727,25
26,0,1.087,25
26,0,1.2378,25
25,0,1.6392,25
25,0,1.8106,24
25,0,1.3335,24
25,0,1.2959,24
25,0,0.82693,24
25,0,1.3079,24
25,0,0.98035,24
26,0,0.69685,25
